Source,Target,Type,Weight,Relationship
13,315,directed,1,[q:QUOTES]
13,314,directed,1,[r:RETWEETS]
314,315,directed,1,[q:QUOTES]
316,101,directed,1,[m:MENTIONS]
316,101,directed,1,[r:RETWEETS]
200,317,directed,1,[m:MENTIONS]
267,12,directed,1,[m:MENTIONS]
267,12,directed,1,[r:RETWEETS]
318,110,directed,1,[m:MENTIONS]
318,6,directed,1,[m:MENTIONS]
319,12,directed,1,[m:MENTIONS]
319,12,directed,1,[r:RETWEETS]
224,320,directed,1,[m:MENTIONS]
224,6,directed,1,[m:MENTIONS]
224,320,directed,1,[r:RETWEETS]
320,6,directed,1,[m:MENTIONS]
321,6,directed,1,[m:MENTIONS]
321,6,directed,1,[r:RETWEETS]
322,306,directed,1,[m:MENTIONS]
322,323,directed,1,[m:MENTIONS]
322,6,directed,1,[m:MENTIONS]
13,324,directed,1,[m:MENTIONS]
13,22,directed,1,[q:QUOTES]
13,324,directed,1,[r:RETWEETS]
324,22,directed,1,[q:QUOTES]
325,20,directed,1,[m:MENTIONS]
325,20,directed,1,[r:RETWEETS]
200,197,directed,1,[m:MENTIONS]
200,197,directed,1,[r:RETWEETS]
326,20,directed,1,[m:MENTIONS]
326,20,directed,1,[r:RETWEETS]
327,328,directed,1,[m:MENTIONS]
327,328,directed,1,[r:RETWEETS]
328,6,directed,1,[m:MENTIONS]
329,330,directed,1,[m:MENTIONS]
329,330,directed,1,[r:RETWEETS]
319,46,directed,1,[m:MENTIONS]
319,46,directed,1,[r:RETWEETS]
200,331,directed,1,[m:MENTIONS]
200,331,directed,1,[r:RETWEETS]
332,20,directed,1,[m:MENTIONS]
332,20,directed,1,[r:RETWEETS]
333,6,directed,1,[m:MENTIONS]
333,6,directed,1,[r:RETWEETS]
267,310,directed,1,[m:MENTIONS]
334,37,directed,1,[m:MENTIONS]
334,9,directed,1,[m:MENTIONS]
335,12,directed,1,[m:MENTIONS]
335,306,directed,1,[q:QUOTES]
306,323,directed,1,[m:MENTIONS]
306,6,directed,1,[m:MENTIONS]
335,12,directed,1,[r:RETWEETS]
12,306,directed,1,[q:QUOTES]
336,29,directed,1,[m:MENTIONS]
336,29,directed,1,[r:RETWEETS]
337,283,directed,1,[m:MENTIONS]
337,283,directed,1,[r:RETWEETS]
338,339,directed,1,[m:MENTIONS]
338,339,directed,1,[r:RETWEETS]
340,6,directed,1,[m:MENTIONS]
340,6,directed,1,[r:RETWEETS]
329,341,directed,1,[m:MENTIONS]
329,6,directed,1,[m:MENTIONS]
329,341,directed,1,[r:RETWEETS]
341,6,directed,1,[m:MENTIONS]
342,29,directed,1,[m:MENTIONS]
342,29,directed,1,[r:RETWEETS]
343,37,directed,1,[q:QUOTES]
37,9,directed,1,[m:MENTIONS]
344,4,directed,1,[m:MENTIONS]
344,4,directed,1,[q:QUOTES]
344,4,directed,1,[r:RETWEETS]
345,18,directed,1,[m:MENTIONS]
345,18,directed,1,[r:RETWEETS]
224,346,directed,1,[m:MENTIONS]
224,6,directed,1,[q:QUOTES]
224,346,directed,1,[r:RETWEETS]
346,6,directed,1,[q:QUOTES]
347,348,directed,1,[m:MENTIONS]
347,348,directed,1,[r:RETWEETS]
316,12,directed,1,[m:MENTIONS]
316,12,directed,1,[r:RETWEETS]
200,29,directed,1,[m:MENTIONS]
200,29,directed,1,[r:RETWEETS]
349,295,directed,1,[m:MENTIONS]
349,295,directed,1,[r:RETWEETS]
