Source,Target,Type,Weight
1090,14299,directed,1
1091,14299,directed,1
1092,14299,directed,1
1093,14299,directed,1
1094,14299,directed,1
1095,14299,directed,1
1096,14299,directed,1
1097,14299,directed,1
1098,14299,directed,1
1099,14299,directed,1
1100,14299,directed,1
1101,14299,directed,1
1102,14299,directed,1
1103,14299,directed,1
1104,14299,directed,1
1105,14299,directed,1
1106,14299,directed,1
1107,14299,directed,1
1108,14299,directed,1
1109,14299,directed,1
1110,14299,directed,1
1111,14299,directed,1
1112,14300,directed,1
1113,14300,directed,1
1114,14300,directed,1
1115,14300,directed,1
1116,14301,directed,1
1117,14301,directed,1
1118,14301,directed,1
1119,14301,directed,1
1120,14301,directed,1
1121,14301,directed,1
1122,14301,directed,1
1123,14301,directed,1
1124,14301,directed,1
1125,14302,directed,1
1126,14302,directed,1
1127,14302,directed,1
1128,14302,directed,1
1129,14302,directed,1
1130,14302,directed,1
1131,14302,directed,1
1132,14302,directed,1
1133,14302,directed,1
1134,14302,directed,1
1027,14302,directed,1
1135,14302,directed,1
1042,14303,directed,1
1136,14303,directed,1
1137,14303,directed,1
1138,14303,directed,1
1139,14303,directed,1
1140,14304,directed,1
1141,14304,directed,1
1142,14304,directed,1
1143,14305,directed,1
1144,14305,directed,1
1145,14305,directed,1
1146,14306,directed,1
1147,14306,directed,1
1148,14306,directed,1
1149,14307,directed,1
1150,14307,directed,1
1151,14307,directed,1
1152,14307,directed,1
1153,14307,directed,1
1154,14308,directed,1
1155,14308,directed,1
1156,14308,directed,1
1157,14308,directed,1
1158,14308,directed,1
1159,14309,directed,1
1160,14309,directed,1
1161,14309,directed,1
1162,14309,directed,1
1163,14309,directed,1
1164,14309,directed,1
1165,14309,directed,1
1166,14309,directed,1
1167,14309,directed,1
1168,14309,directed,1
1169,14309,directed,1
1170,14309,directed,1
1171,14309,directed,1
1172,14309,directed,1
1173,14309,directed,1
1174,14309,directed,1
1175,14309,directed,1
1176,14309,directed,1
1177,14309,directed,1
1178,14309,directed,1
1179,14309,directed,1
1180,14309,directed,1
1181,14309,directed,1
1182,14309,directed,1
1183,14309,directed,1
1184,14309,directed,1
1185,14309,directed,1
1186,14309,directed,1
1187,14309,directed,1
1188,14309,directed,1
1189,14309,directed,1
1190,14309,directed,1
1191,14309,directed,1
1192,14309,directed,1
1193,14309,directed,1
1194,14309,directed,1
1195,14309,directed,1
1196,14309,directed,1
1197,14309,directed,1
1198,14309,directed,1
1199,14309,directed,1
1200,14309,directed,1
1201,14309,directed,1
1202,14309,directed,1
1203,14309,directed,1
1204,14309,directed,1
1205,14310,directed,1
1206,14310,directed,1
1207,14310,directed,1
1208,14310,directed,1
1209,14310,directed,1
1210,14310,directed,1
1211,14311,directed,1
1212,14311,directed,1
1213,14311,directed,1
1214,14311,directed,1
1215,14311,directed,1
1216,14311,directed,1
1217,14312,directed,1
1218,14312,directed,1
1219,14312,directed,1
1220,14312,directed,1
1221,14312,directed,1
1222,14312,directed,1
1223,14312,directed,1
1224,14312,directed,1
1225,14313,directed,1
1226,14313,directed,1
1227,14313,directed,1
1228,14313,directed,1
1229,14313,directed,1
1230,14313,directed,1
1231,14313,directed,1
1232,14313,directed,1
1233,14313,directed,1
1234,14313,directed,1
1235,14313,directed,1
1236,14313,directed,1
1237,14313,directed,1
1238,14313,directed,1
1239,14313,directed,1
1240,14313,directed,1
1241,14313,directed,1
1242,14313,directed,1
1243,14313,directed,1
1244,14313,directed,1
1245,14313,directed,1
1246,14313,directed,1
1247,14313,directed,1
1248,14313,directed,1
1249,14313,directed,1
1250,14313,directed,1
1251,14313,directed,1
1252,14313,directed,1
1253,14313,directed,1
1254,14313,directed,1
1255,14313,directed,1
1256,14313,directed,1
1257,14313,directed,1
1258,14313,directed,1
1259,14313,directed,1
1260,14313,directed,1
1261,14313,directed,1
1262,14313,directed,1
1263,14313,directed,1
1264,14313,directed,1
1265,14313,directed,1
1266,14313,directed,1
1267,14313,directed,1
1268,14313,directed,1
1269,14313,directed,1
1270,14313,directed,1
1271,14313,directed,1
1272,14313,directed,1
1273,14313,directed,1
1274,14313,directed,1
1275,14313,directed,1
1276,14313,directed,1
1277,14313,directed,1
1278,14313,directed,1
1279,14313,directed,1
1280,14313,directed,1
1281,14313,directed,1
1282,14313,directed,1
1283,14313,directed,1
1284,14313,directed,1
1285,14313,directed,1
1286,14313,directed,1
1287,14313,directed,1
1288,14313,directed,1
1289,14313,directed,1
1290,14313,directed,1
1291,14313,directed,1
1292,14313,directed,1
